Semana,Día Tipo / Ciclo,Comida,Horario Recomendado,Plato / Receta (100% Sin Gluten),Ingredientes y Gramajes Exactos (Pesados en Crudo),Proteína (g),Carbohidratos (g),Grasas (g),Calorías (kcal),Fibra (g),Micronutrientes Críticos / Indicaciones Clínicas
Semana 1,Miércoles (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 1,Miércoles (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 1,Miércoles (Entrenamiento),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con arroz y verduras mediterráneas,"Pechuga de pollo de corral (170g), 85g arroz basmati en crudo (250g cocido), 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",45.0,75.0,14.0,606,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 1,Miércoles (Entrenamiento),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",30.0,30.0,7.0,303,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 1,Miércoles (Entrenamiento),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",42.0,50.0,15.0,503,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 1,Jueves (Descanso Activo),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 1,Jueves (Descanso Activo),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 1,Jueves (Descanso Activo),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de lomo con patata y verduras mediterráneas,"Lomo de ternera magra (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 1,Jueves (Descanso Activo),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 1,Jueves (Descanso Activo),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"180g lomo de merluza/bacalao al horno, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 1,Viernes (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 1,Viernes (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 1,Viernes (Entrenamiento),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con arroz y verduras mediterráneas,"Pechuga de pollo de corral (170g), 85g arroz basmati en crudo (250g cocido), 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",45.0,75.0,14.0,606,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 1,Viernes (Entrenamiento),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",30.0,30.0,7.0,303,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 1,Viernes (Entrenamiento),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",42.0,50.0,15.0,503,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 1,Sábado (Descanso / Pareja),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 1,Sábado (Descanso / Pareja),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 1,Sábado (Descanso / Pareja),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de lomo con patata y verduras mediterráneas,"Lomo de ternera magra (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 1,Sábado (Descanso / Pareja),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 1,Sábado (Descanso / Pareja),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"180g lomo de merluza/bacalao al horno, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 1,Domingo (Batch Cooking),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 1,Domingo (Batch Cooking),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 1,Domingo (Batch Cooking),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con patata y verduras mediterráneas,"Pechuga de pollo de corral (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 1,Domingo (Batch Cooking),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 1,Domingo (Batch Cooking),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Lunes (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Lunes (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Lunes (Entrenamiento),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con arroz y verduras mediterráneas,"Pechuga de pollo de corral (170g), 85g arroz basmati en crudo (250g cocido), 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",45.0,75.0,14.0,606,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Lunes (Entrenamiento),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",30.0,30.0,7.0,303,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Lunes (Entrenamiento),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",42.0,50.0,15.0,503,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Martes (Descanso Activo),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Martes (Descanso Activo),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Martes (Descanso Activo),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de lomo con patata y verduras mediterráneas,"Lomo de ternera magra (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Martes (Descanso Activo),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Martes (Descanso Activo),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"180g lomo de merluza/bacalao al horno, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Miércoles (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Miércoles (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Miércoles (Entrenamiento),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con arroz y verduras mediterráneas,"Pechuga de pollo de corral (170g), 85g arroz basmati en crudo (250g cocido), 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",45.0,75.0,14.0,606,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Miércoles (Entrenamiento),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",30.0,30.0,7.0,303,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Miércoles (Entrenamiento),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",42.0,50.0,15.0,503,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Jueves (Descanso Activo),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Jueves (Descanso Activo),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Jueves (Descanso Activo),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de lomo con patata y verduras mediterráneas,"Lomo de ternera magra (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Jueves (Descanso Activo),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Jueves (Descanso Activo),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"180g lomo de merluza/bacalao al horno, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Viernes (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Viernes (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Viernes (Entrenamiento),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con arroz y verduras mediterráneas,"Pechuga de pollo de corral (170g), 85g arroz basmati en crudo (250g cocido), 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",45.0,75.0,14.0,606,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Viernes (Entrenamiento),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",30.0,30.0,7.0,303,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Viernes (Entrenamiento),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",42.0,50.0,15.0,503,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Sábado (Descanso / Pareja),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Sábado (Descanso / Pareja),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Sábado (Descanso / Pareja),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de lomo con patata y verduras mediterráneas,"Lomo de ternera magra (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Sábado (Descanso / Pareja),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Sábado (Descanso / Pareja),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"180g lomo de merluza/bacalao al horno, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 2,Domingo (Batch Cooking),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",27.4,29.8,24.2,446,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 2,Domingo (Batch Cooking),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",17.6,25.5,17.6,330,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
Semana 2,Domingo (Batch Cooking),Almuerzo (Pre-Entreno),14:30 - 15:00,Salteado de pechuga con patata y verduras mediterráneas,"Pechuga de pollo de corral (170g), 280g patata o boniato asado, 150g calabacín y judía verde, 12g Aceite de Oliva Virgen Extra (AOVE)",44.1,63.8,15.4,570,7.5,"Hierro hemo (ternera) / Niacina (pollo), recarga de glucógeno muscular previa a sesión."
Semana 2,Domingo (Batch Cooking),Merienda / Peri-Entreno,18:30 - 19:00,Batido recovery de aislado de suero con tortitas de arroz integral y crema de almendra,"35g Whey Protein Isolate (certificada libre de gluten), 4 tortitas de arroz integral puro (35g), 12g crema de almendra 100%",29.4,25.5,7.7,288,3.0,"3.5g Leucina para activación mTOR post-esfuerzo, digestión rápida sin pesadez."
Semana 2,Domingo (Batch Cooking),Cena,21:30 - 22:00,Lomo de de al horno con verduras asadas y tubérculos,"170g lomo de salmón salvaje, 250g boniato o patata al vapor, ensalada verde con rúcula, espinaca y tomate cherry (150g), 10g AOVE",41.2,42.5,16.5,483,6.0,"Omega-3 EPA/DHA antiinflamatorio, Magnesio y Potasio para relajación neuromuscular."
Semana 3,Lunes (Entrenamiento),Desayuno,08:00 - 08:30,Huevos revueltos sobre pan de trigo sarraceno y aguacate,"3 huevos enteros camperos (180g), 65g pan 100% trigo sarraceno o arroz artesanal sin gluten, 35g aguacate hass, 1 kiwi maduro",28.0,35.0,22.0,450,6.5,"Colina (yemas), Vitamina C (kiwi) para absorción férrica, grasas monoinsaturadas."
Semana 3,Lunes (Entrenamiento),Media Mañana,11:30 - 12:00,Bowl de yogur griego natural con fruta fresca y frutos secos,"220g yogur griego natural sin azúcar (o kéfir sin lactosa), 100g plátano de Canarias o manzana, 20g nueces de California troceadas",18.0,30.0,16.0,336,4.0,"Calcio bioasimilable (280mg), Probióticos intestinales, Omega-3 ALA vegetal."
