Semana,Día / Sesión,Orden,Patrón Motor / Ejercicio,Variante Gym,Variante Casa (Banco Romano/Mancuernas),Series,Reps Objetivo,RIR / Esfuerzo,Descanso (seg),Tempo (Exc-Iso-Conc),Sobrecarga Progresiva / Notas Biomecánicas
Semana 1,Día 3 (Jueves) - Empuje Hipertrofia,1,Press Inclinado 30° Mancuernas,Press mancuernas en banco a 30°,Press inclinado en banco con mancuernas,3,8-10,2-3,90,3-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Haz clavicular sin estrés anterior de hombro.
Semana 1,Día 3 (Jueves) - Empuje Hipertrofia,2,Fondos Asistidos / Push-ups,Fondos en máquina asistida,Flexiones en suelo o con manos elevadas,3,10-12,2-3,90,2-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Protracción escapular completa para activar serrato anterior.
Semana 1,Día 3 (Jueves) - Empuje Hipertrofia,3,Elevaciones Laterales Escapulares,Polea baja cruzada o mancuernas,Elevaciones en plano escapular 30° adelantadas,4,12-15,2-3,60,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Deltoides lateral sin compresión del supraespinoso.
Semana 1,Día 3 (Jueves) - Empuje Hipertrofia,4,Extensiones Tríceps Polea Cuerda,Polea alta con cuerda abriendo abajo,Extensión copa con mancuerna a dos manos,3,12-15,2-3,60,2-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Aislamiento de tríceps con codos pegados al cuerpo.
Semana 1,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,1,Remo Polea Baja Agarre Neutro,Remo sentado con agarre doble D al ombligo,Remo neutro con dos mancuernas simultáneas,4,10-12,2-3,90,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Torso erguido sin balanceo compensatorio.
Semana 1,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,2,Pull-over en Polea Alta,Polea alta con cuerda o barra recta,Pull-over con mancuerna apoyando espalda en banco,3,12-15,2-3,60,2-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Aislamiento dorsal puro sin reclutar bíceps.
Semana 1,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,3,Pájaros en Banco Romano 45°,Pájaros máquina contractora invertida,Pájaros apoyado en banco romano 45° en casa,4,15-20,2-3,60,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Activación deltoides posterior y romboides.
Semana 1,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,4,Curl de Bíceps en Banco Inclinado,Banco a 60° con mancuernas,Banco inclinado a 60° con mancuernas,3,10-12,2-3,60,3-0-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Máximo estiramiento de la cabeza larga del bíceps.
Semana 1,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,1,Hip Thrust con Barra / Máquina,Hip Thrust con barra y pad o máquina,Hip Thrust con mancuerna apoyado en banco,4,8-10,2-3,120,2-2-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Pausa de 2s arriba para activación máxima de glúteo mayor.
Semana 1,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,2,Sentadilla Búlgara,Pie en banco plano con mancuernas,Pie en banco romano/silla con mancuernas,3,10-12 / pierna,2-3,90,2-1-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Descompresión y estiramiento del psoas ilíaco.
Semana 1,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,3,Extensiones de Cuádriceps,Máquina de extensiones de rodilla,Sissy squat asistida o zancadas estáticas,3,12-15,2-3,60,2-0-1-0,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Tensión constante en recto anterior.
Semana 1,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,4,Extensiones Banco Romano,Banco romano 45° con peso al pecho,Banco romano 45° en casa,3,12-15,2-3,60,2-1-1-1,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Isquiosurales y glúteos sin doblar columna lumbar.
Semana 1,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,5,Pallof Press,Polea a media altura anti-rotación,Pallof press con banda elástica anclada a puerta,3,12 reps / lado,2-3,45,Isométrico 2s,Semana 1 (Adaptación Anatómica y Calibración Basal (RIR 2-3)): Fijación y estabilidad rotacional lumbo-pélvica.
Semana 2,Día 1 (Lunes) - Torso Superior,1,Remo Pecho Apoyado,Remo máquina placas apoyo esternal,Remo mancuernas pecho apoyado en banco 45°,4,8-10,2,90,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Depresión y retracción escapular sin tensión lumbar."
Semana 2,Día 1 (Lunes) - Torso Superior,2,Press Plano Mancuernas,Press plano neutro-semipronado,Floor press o press en banco plano con mancuernas,3,8-10,2,90,3-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Codos en 45° para proteger el tendón bicipital y acromion."
Semana 2,Día 1 (Lunes) - Torso Superior,3,Jalón al Pecho Neutro,Polea alta agarre estrecho cerrado,Remo invertido bajo mesa o dominada asistida con banda,4,10-12,2,90,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Tirar hacia el esternón sin reclutar excesivo trapecio superior."
Semana 2,Día 1 (Lunes) - Torso Superior,4,Press Militar Respaldo 75°,Press sentado mancuernas,Press mancuernas con respaldo lumbar firme,3,8-10,2,90,2-0-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Control de la pared abdominal; sin arquear la baja espalda."
Semana 2,Día 1 (Lunes) - Torso Superior,5,Face Pull en Polea Alta,Polea alta con cuerda doble a las sienes,Face pull con banda elástica anclada en puerta,3,15-20,2,60,2-2-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Rotación externa al final para corregir postura de oficina."
Semana 2,Día 2 (Martes) - Pierna Dominancia Anterior y Core,1,Prensa de Piernas 45°,Prensa 45° colocación media,Goblet Squat pesado con mancuerna,4,8-10,2,120,3-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Descarga axial total de columna vertebral."
Semana 2,Día 2 (Martes) - Pierna Dominancia Anterior y Core,2,Peso Muerto Rumano,RDL con mancuernas pegadas al cuerpo,RDL con mancuernas y bisagra pura,3,8-10,2,120,3-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Desplazar cadera atrás; estiramiento controlado de isquios."
Semana 2,Día 2 (Martes) - Pierna Dominancia Anterior y Core,3,Extensiones Banco Romano,Banco romano 45° gym,Banco romano 45° en casa,3,12-15,2,60,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Apretar glúteos arriba sin hiperextender vértebras lumbares."
Semana 2,Día 2 (Martes) - Pierna Dominancia Anterior y Core,4,Curl Femoral Sentado/Tumbado,Curl femoral máquina,Curl femoral deslizante en suelo con toalla,3,10-12,2,60,2-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Equilibrio agonist/antagonist de la rodilla."
Semana 2,Día 2 (Martes) - Pierna Dominancia Anterior y Core,5,Plank con Retroversión,Plank en suelo sobre codos,Plank en suelo sobre codos / Dead Bug,3,30-45 seg,2,45,Isométrico,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Basculación pélvica posterior consciente."
Semana 2,Día 3 (Jueves) - Empuje Hipertrofia,1,Press Inclinado 30° Mancuernas,Press mancuernas en banco a 30°,Press inclinado en banco con mancuernas,3,8-10,2,90,3-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Haz clavicular sin estrés anterior de hombro."
Semana 2,Día 3 (Jueves) - Empuje Hipertrofia,2,Fondos Asistidos / Push-ups,Fondos en máquina asistida,Flexiones en suelo o con manos elevadas,3,10-12,2,90,2-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Protracción escapular completa para activar serrato anterior."
Semana 2,Día 3 (Jueves) - Empuje Hipertrofia,3,Elevaciones Laterales Escapulares,Polea baja cruzada o mancuernas,Elevaciones en plano escapular 30° adelantadas,4,12-15,2,60,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Deltoides lateral sin compresión del supraespinoso."
Semana 2,Día 3 (Jueves) - Empuje Hipertrofia,4,Extensiones Tríceps Polea Cuerda,Polea alta con cuerda abriendo abajo,Extensión copa con mancuerna a dos manos,3,12-15,2,60,2-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Aislamiento de tríceps con codos pegados al cuerpo."
Semana 2,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,1,Remo Polea Baja Agarre Neutro,Remo sentado con agarre doble D al ombligo,Remo neutro con dos mancuernas simultáneas,4,10-12,2,90,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Torso erguido sin balanceo compensatorio."
Semana 2,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,2,Pull-over en Polea Alta,Polea alta con cuerda o barra recta,Pull-over con mancuerna apoyando espalda en banco,3,12-15,2,60,2-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Aislamiento dorsal puro sin reclutar bíceps."
Semana 2,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,3,Pájaros en Banco Romano 45°,Pájaros máquina contractora invertida,Pájaros apoyado en banco romano 45° en casa,4,15-20,2,60,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Activación deltoides posterior y romboides."
Semana 2,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,4,Curl de Bíceps en Banco Inclinado,Banco a 60° con mancuernas,Banco inclinado a 60° con mancuernas,3,10-12,2,60,3-0-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Máximo estiramiento de la cabeza larga del bíceps."
Semana 2,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,1,Hip Thrust con Barra / Máquina,Hip Thrust con barra y pad o máquina,Hip Thrust con mancuerna apoyado en banco,4,8-10,2,120,2-2-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Pausa de 2s arriba para activación máxima de glúteo mayor."
Semana 2,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,2,Sentadilla Búlgara,Pie en banco plano con mancuernas,Pie en banco romano/silla con mancuernas,3,10-12 / pierna,2,90,2-1-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Descompresión y estiramiento del psoas ilíaco."
Semana 2,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,3,Extensiones de Cuádriceps,Máquina de extensiones de rodilla,Sissy squat asistida o zancadas estáticas,3,12-15,2,60,2-0-1-0,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Tensión constante en recto anterior."
Semana 2,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,4,Extensiones Banco Romano,Banco romano 45° con peso al pecho,Banco romano 45° en casa,3,12-15,2,60,2-1-1-1,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Isquiosurales y glúteos sin doblar columna lumbar."
Semana 2,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,5,Pallof Press,Polea a media altura anti-rotación,Pallof press con banda elástica anclada a puerta,3,12 reps / lado,2,45,Isométrico 2s,"Semana 2 (Sobrecarga Progresiva Lineal (+1 rep o +2.5-5% carga, RIR 2)): Fijación y estabilidad rotacional lumbo-pélvica."
Semana 3,Día 1 (Lunes) - Torso Superior,1,Remo Pecho Apoyado,Remo máquina placas apoyo esternal,Remo mancuernas pecho apoyado en banco 45°,4,8-10,1-2,90,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Depresión y retracción escapular sin tensión lumbar.
Semana 3,Día 1 (Lunes) - Torso Superior,2,Press Plano Mancuernas,Press plano neutro-semipronado,Floor press o press en banco plano con mancuernas,3,8-10,1-2,90,3-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Codos en 45° para proteger el tendón bicipital y acromion.
Semana 3,Día 1 (Lunes) - Torso Superior,3,Jalón al Pecho Neutro,Polea alta agarre estrecho cerrado,Remo invertido bajo mesa o dominada asistida con banda,4,10-12,1-2,90,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Tirar hacia el esternón sin reclutar excesivo trapecio superior.
Semana 3,Día 1 (Lunes) - Torso Superior,4,Press Militar Respaldo 75°,Press sentado mancuernas,Press mancuernas con respaldo lumbar firme,3,8-10,1-2,90,2-0-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Control de la pared abdominal; sin arquear la baja espalda.
Semana 3,Día 1 (Lunes) - Torso Superior,5,Face Pull en Polea Alta,Polea alta con cuerda doble a las sienes,Face pull con banda elástica anclada en puerta,3,15-20,1-2,60,2-2-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Rotación externa al final para corregir postura de oficina.
Semana 3,Día 2 (Martes) - Pierna Dominancia Anterior y Core,1,Prensa de Piernas 45°,Prensa 45° colocación media,Goblet Squat pesado con mancuerna,4,8-10,1-2,120,3-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Descarga axial total de columna vertebral.
Semana 3,Día 2 (Martes) - Pierna Dominancia Anterior y Core,2,Peso Muerto Rumano,RDL con mancuernas pegadas al cuerpo,RDL con mancuernas y bisagra pura,3,8-10,1-2,120,3-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Desplazar cadera atrás; estiramiento controlado de isquios.
Semana 3,Día 2 (Martes) - Pierna Dominancia Anterior y Core,3,Extensiones Banco Romano,Banco romano 45° gym,Banco romano 45° en casa,3,12-15,1-2,60,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Apretar glúteos arriba sin hiperextender vértebras lumbares.
Semana 3,Día 2 (Martes) - Pierna Dominancia Anterior y Core,4,Curl Femoral Sentado/Tumbado,Curl femoral máquina,Curl femoral deslizante en suelo con toalla,3,10-12,1-2,60,2-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Equilibrio agonist/antagonist de la rodilla.
Semana 3,Día 2 (Martes) - Pierna Dominancia Anterior y Core,5,Plank con Retroversión,Plank en suelo sobre codos,Plank en suelo sobre codos / Dead Bug,3,30-45 seg,1-2,45,Isométrico,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Basculación pélvica posterior consciente.
Semana 3,Día 3 (Jueves) - Empuje Hipertrofia,1,Press Inclinado 30° Mancuernas,Press mancuernas en banco a 30°,Press inclinado en banco con mancuernas,3,8-10,1-2,90,3-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Haz clavicular sin estrés anterior de hombro.
Semana 3,Día 3 (Jueves) - Empuje Hipertrofia,2,Fondos Asistidos / Push-ups,Fondos en máquina asistida,Flexiones en suelo o con manos elevadas,3,10-12,1-2,90,2-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Protracción escapular completa para activar serrato anterior.
Semana 3,Día 3 (Jueves) - Empuje Hipertrofia,3,Elevaciones Laterales Escapulares,Polea baja cruzada o mancuernas,Elevaciones en plano escapular 30° adelantadas,4,12-15,1-2,60,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Deltoides lateral sin compresión del supraespinoso.
Semana 3,Día 3 (Jueves) - Empuje Hipertrofia,4,Extensiones Tríceps Polea Cuerda,Polea alta con cuerda abriendo abajo,Extensión copa con mancuerna a dos manos,3,12-15,1-2,60,2-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Aislamiento de tríceps con codos pegados al cuerpo.
Semana 3,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,1,Remo Polea Baja Agarre Neutro,Remo sentado con agarre doble D al ombligo,Remo neutro con dos mancuernas simultáneas,4,10-12,1-2,90,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Torso erguido sin balanceo compensatorio.
Semana 3,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,2,Pull-over en Polea Alta,Polea alta con cuerda o barra recta,Pull-over con mancuerna apoyando espalda en banco,3,12-15,1-2,60,2-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Aislamiento dorsal puro sin reclutar bíceps.
Semana 3,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,3,Pájaros en Banco Romano 45°,Pájaros máquina contractora invertida,Pájaros apoyado en banco romano 45° en casa,4,15-20,1-2,60,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Activación deltoides posterior y romboides.
Semana 3,Día 4 (Viernes) - Tirón e Hipertrofia Dorsal,4,Curl de Bíceps en Banco Inclinado,Banco a 60° con mancuernas,Banco inclinado a 60° con mancuernas,3,10-12,1-2,60,3-0-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Máximo estiramiento de la cabeza larga del bíceps.
Semana 3,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,1,Hip Thrust con Barra / Máquina,Hip Thrust con barra y pad o máquina,Hip Thrust con mancuerna apoyado en banco,4,8-10,1-2,120,2-2-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Pausa de 2s arriba para activación máxima de glúteo mayor.
Semana 3,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,2,Sentadilla Búlgara,Pie en banco plano con mancuernas,Pie en banco romano/silla con mancuernas,3,10-12 / pierna,1-2,90,2-1-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Descompresión y estiramiento del psoas ilíaco.
Semana 3,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,3,Extensiones de Cuádriceps,Máquina de extensiones de rodilla,Sissy squat asistida o zancadas estáticas,3,12-15,1-2,60,2-0-1-0,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Tensión constante en recto anterior.
Semana 3,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,4,Extensiones Banco Romano,Banco romano 45° con peso al pecho,Banco romano 45° en casa,3,12-15,1-2,60,2-1-1-1,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Isquiosurales y glúteos sin doblar columna lumbar.
Semana 3,Día 5 (Sábado) - Pierna Cadena Posterior y Anti-Rotación,5,Pallof Press,Polea a media altura anti-rotación,Pallof press con banda elástica anclada a puerta,3,12 reps / lado,1-2,45,Isométrico 2s,Semana 3 (Sobrecarga Máxima Efectiva (RIR 1-2)): Fijación y estabilidad rotacional lumbo-pélvica.
Semana 4,Día 1 (Lunes) - Torso Superior,1,Remo Pecho Apoyado,Remo máquina placas apoyo esternal,Remo mancuernas pecho apoyado en banco 45°,3,8-10,3-4,90,2-1-1-1,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Depresión y retracción escapular sin tensión lumbar."
Semana 4,Día 1 (Lunes) - Torso Superior,2,Press Plano Mancuernas,Press plano neutro-semipronado,Floor press o press en banco plano con mancuernas,2,8-10,3-4,90,3-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Codos en 45° para proteger el tendón bicipital y acromion."
Semana 4,Día 1 (Lunes) - Torso Superior,3,Jalón al Pecho Neutro,Polea alta agarre estrecho cerrado,Remo invertido bajo mesa o dominada asistida con banda,3,10-12,3-4,90,2-1-1-1,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Tirar hacia el esternón sin reclutar excesivo trapecio superior."
Semana 4,Día 1 (Lunes) - Torso Superior,4,Press Militar Respaldo 75°,Press sentado mancuernas,Press mancuernas con respaldo lumbar firme,2,8-10,3-4,90,2-0-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Control de la pared abdominal; sin arquear la baja espalda."
Semana 4,Día 1 (Lunes) - Torso Superior,5,Face Pull en Polea Alta,Polea alta con cuerda doble a las sienes,Face pull con banda elástica anclada en puerta,2,15-20,3-4,60,2-2-1-1,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Rotación externa al final para corregir postura de oficina."
Semana 4,Día 2 (Martes) - Pierna Dominancia Anterior y Core,1,Prensa de Piernas 45°,Prensa 45° colocación media,Goblet Squat pesado con mancuerna,3,8-10,3-4,120,3-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Descarga axial total de columna vertebral."
Semana 4,Día 2 (Martes) - Pierna Dominancia Anterior y Core,2,Peso Muerto Rumano,RDL con mancuernas pegadas al cuerpo,RDL con mancuernas y bisagra pura,2,8-10,3-4,120,3-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Desplazar cadera atrás; estiramiento controlado de isquios."
Semana 4,Día 2 (Martes) - Pierna Dominancia Anterior y Core,3,Extensiones Banco Romano,Banco romano 45° gym,Banco romano 45° en casa,2,12-15,3-4,60,2-1-1-1,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Apretar glúteos arriba sin hiperextender vértebras lumbares."
Semana 4,Día 2 (Martes) - Pierna Dominancia Anterior y Core,4,Curl Femoral Sentado/Tumbado,Curl femoral máquina,Curl femoral deslizante en suelo con toalla,2,10-12,3-4,60,2-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Equilibrio agonist/antagonist de la rodilla."
Semana 4,Día 2 (Martes) - Pierna Dominancia Anterior y Core,5,Plank con Retroversión,Plank en suelo sobre codos,Plank en suelo sobre codos / Dead Bug,2,30-45 seg,3-4,45,Isométrico,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Basculación pélvica posterior consciente."
Semana 4,Día 3 (Jueves) - Empuje Hipertrofia,1,Press Inclinado 30° Mancuernas,Press mancuernas en banco a 30°,Press inclinado en banco con mancuernas,2,8-10,3-4,90,3-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Haz clavicular sin estrés anterior de hombro."
Semana 4,Día 3 (Jueves) - Empuje Hipertrofia,2,Fondos Asistidos / Push-ups,Fondos en máquina asistida,Flexiones en suelo o con manos elevadas,2,10-12,3-4,90,2-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Protracción escapular completa para activar serrato anterior."
Semana 4,Día 3 (Jueves) - Empuje Hipertrofia,3,Elevaciones Laterales Escapulares,Polea baja cruzada o mancuernas,Elevaciones en plano escapular 30° adelantadas,3,12-15,3-4,60,2-1-1-1,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Deltoides lateral sin compresión del supraespinoso."
Semana 4,Día 3 (Jueves) - Empuje Hipertrofia,4,Extensiones Tríceps Polea Cuerda,Polea alta con cuerda abriendo abajo,Extensión copa con mancuerna a dos manos,2,12-15,3-4,60,2-1-1-0,"Semana 4 (Descarga Estratégica / Consolidación Postural (RIR 3-4, volumen -35%)): Aislamiento de tríceps con codos pegados al cuerpo."
