Semana,Día / Sesión,Orden,Patrón Motor / Ejercicio,Variante Gym,Variante Casa (Banco Romano/Mancuernas),Series,Reps Objetivo,RIR / Esfuerzo,Descanso (seg),Tempo (Exc-Iso-Conc),Sobrecarga Progresiva / Notas Biomecánicas
Semana 2,Día 2 (Miércoles) - Full Body B,3,Empuje Vertical / Press Militar,Press militar sentado con mancuernas (respaldo a 75°-80°),Press de hombros sentado con mancuernas con respaldo,3,8-10,2,90,2-0-1-0,Semana 2: Apoyo lumbar firme en el respaldo para evitar arqueo compensatorio.
Semana 2,Día 2 (Miércoles) - Full Body B,4,Unilateral / Estabilidad Pélvica,Sentadilla búlgara con mancuernas,Sentadilla búlgara apoyando pie en banco romano/silla,3,10-12 / pierna,2,60,2-1-1-0,Semana 2: Estiramiento dinámico del psoas contralateral y trabajo estabilizador del glúteo medio.
Semana 2,Día 2 (Miércoles) - Full Body B,5,Core / Anti-Extensión Lumbar,Plank abdominal con retroversión pélvica activa,Plank en suelo empujando codos contra suelo / Dead Bug,3,35-45 seg,Fallo técnico,45,Isométrico,Semana 2: Apretón consciente de glúteos y ombligo hacia dentro. Cero hundimiento lumbar.
Semana 2,Día 3 (Viernes) - Full Body C,1,Rodilla Dominante / Guía Estable,Sentadilla en máquina Hack o Prensa vertical,Sentadilla Goblet con pausa de 1.5s en paralelo,3,8-10,2,120,3-1-1-0,Semana 2: Control excéntrico en 3 segundos. Profundidad cómoda sin pérdida de curvatura neutra.
Semana 2,Día 3 (Viernes) - Full Body C,2,Tracción Horizontal Alta / Romboides,Remo sentado en polea baja con barra ancha / agarre prono,Remo con mancuernas con codos a 60° del torso,4,10-12,2,90,2-1-1-1,Semana 2: Llevar barra al apéndice xifoides. Fortalecimiento directo de romboides y trapecio medio.
Semana 2,Día 3 (Viernes) - Full Body C,3,Empuje / Serrato Anterior,Fondos en máquina asistida (codos pegados),Flexiones en suelo o con manos en banco elevadas,3,10-12,2,90,2-1-1-0,Semana 2: Protracción activa al final de la fase de empuje (empujar el suelo lejos).
Semana 2,Día 3 (Viernes) - Full Body C,4,Extensión de Cadera / Descompresión Lumbar,Hip Thrust con barra acolchada o máquina de cadera,Hip Thrust con mancuerna apoyando escápulas en banco,3,10-12,2,90,2-2-1-1,Semana 2: Pausa isométrica de 2 segundos en el bloqueo pélvico superior.
Semana 2,Día 3 (Viernes) - Full Body C,5,Deltoides Posterior en Banco Romano,Pájaros con mancuernas apoyado prono a 45°,Pájaros con mancuernas manteniendo posición en banco romano,3,15-20,1-2,60,2-1-1-1,"Semana 2: Rotación neutra de muñecas, elevación en plano escapular para reposicionar la cabeza humeral."
Semana 3,Día 1 (Lunes) - Full Body A,1,Rodilla Dominante / Prensa,Prensa de piernas 45° (pies anchura de hombros media plataforma),Goblet Squat con mancuerna pesada y torso erguido,3,10-12,1-2,120,3-0-1-0,Semana 3: Cero estrés axial. Empujar con mediopié y talones. Bloquear pelvis contra el respaldo.
Semana 3,Día 1 (Lunes) - Full Body A,2,Tracción Horizontal / Remo Pecho Apoyado,Remo en máquina con almohadilla esternal,Remo con mancuernas sobre banco inclinado a 45°,4,12-14,1-2,90,2-1-1-1,Semana 3: Pausa 1s en contracción escapular. Inhibir lumbares; abrir caja torácica.
Semana 3,Día 1 (Lunes) - Full Body A,3,Empuje Horizontal / Press Mancuernas,Press de banca plano con mancuernas agarre neutro-semipronado,Floor press con mancuernas o press en banco plano,3,10-12,1-2,90,3-1-1-0,Semana 3: Codos a 45° respecto al torso. Protección estricta del acromion y hombro anterior.
Semana 3,Día 1 (Lunes) - Full Body A,4,Bisagra / Cadena Posterior en Banco Romano,Extensiones de cadera a 45° en banco romano,Banco romano 45° en casa (almohadilla bajo cresta ilíaca),3,12-15,1-2,60,2-1-1-1,Semana 3: Bloquear arriba apretando GLÚTEOS con pelvis neutra. CERO hiperextensión lumbar.
Semana 3,Día 1 (Lunes) - Full Body A,5,Postural / Rotación Externa,Face Pull en polea alta con cuerda doble hacia las sienes,Face pull con banda elástica anclada alta o pájaros en pronación,3,15-20,1-2,60,2-2-1-1,Semana 3: Pulgares apuntando hacia atrás al final del tirón. Corrige hombros adelantados.
Semana 3,Día 2 (Miércoles) - Full Body B,1,Bisagra de Cadera / Peso Muerto Rumano,RDL con mancuernas rozando espinillas,RDL con mancuernas manteniendo columna neutra,3,9-10,1-2,120,3-1-1-0,"Semana 3: Empujar cadera hacia la pared trasera. Máxima tensión en isquiosurales, lumbares fijas."
Semana 3,Día 2 (Miércoles) - Full Body B,2,Tracción Vertical / Jalón al Pecho,Jalón al pecho en polea con agarre neutro cerrado/medio,Remo invertido bajo mesa sólida o dominadas asistidas,4,10-12,1-2,90,2-1-1-1,"Semana 3: Iniciar descendiendo las escápulas. Barra al esternón alto, codos al bolsillo trasero."
Semana 3,Día 2 (Miércoles) - Full Body B,3,Empuje Vertical / Press Militar,Press militar sentado con mancuernas (respaldo a 75°-80°),Press de hombros sentado con mancuernas con respaldo,3,8-10,1-2,90,2-0-1-0,Semana 3: Apoyo lumbar firme en el respaldo para evitar arqueo compensatorio.
Semana 3,Día 2 (Miércoles) - Full Body B,4,Unilateral / Estabilidad Pélvica,Sentadilla búlgara con mancuernas,Sentadilla búlgara apoyando pie en banco romano/silla,3,10-12 / pierna,1-2,60,2-1-1-0,Semana 3: Estiramiento dinámico del psoas contralateral y trabajo estabilizador del glúteo medio.
Semana 3,Día 2 (Miércoles) - Full Body B,5,Core / Anti-Extensión Lumbar,Plank abdominal con retroversión pélvica activa,Plank en suelo empujando codos contra suelo / Dead Bug,3,35-45 seg,Fallo técnico,45,Isométrico,Semana 3: Apretón consciente de glúteos y ombligo hacia dentro. Cero hundimiento lumbar.
Semana 3,Día 3 (Viernes) - Full Body C,1,Rodilla Dominante / Guía Estable,Sentadilla en máquina Hack o Prensa vertical,Sentadilla Goblet con pausa de 1.5s en paralelo,3,8-10,1-2,120,3-1-1-0,Semana 3: Control excéntrico en 3 segundos. Profundidad cómoda sin pérdida de curvatura neutra.
Semana 3,Día 3 (Viernes) - Full Body C,2,Tracción Horizontal Alta / Romboides,Remo sentado en polea baja con barra ancha / agarre prono,Remo con mancuernas con codos a 60° del torso,4,10-12,1-2,90,2-1-1-1,Semana 3: Llevar barra al apéndice xifoides. Fortalecimiento directo de romboides y trapecio medio.
Semana 3,Día 3 (Viernes) - Full Body C,3,Empuje / Serrato Anterior,Fondos en máquina asistida (codos pegados),Flexiones en suelo o con manos en banco elevadas,3,10-12,1-2,90,2-1-1-0,Semana 3: Protracción activa al final de la fase de empuje (empujar el suelo lejos).
Semana 3,Día 3 (Viernes) - Full Body C,4,Extensión de Cadera / Descompresión Lumbar,Hip Thrust con barra acolchada o máquina de cadera,Hip Thrust con mancuerna apoyando escápulas en banco,3,10-12,1-2,90,2-2-1-1,Semana 3: Pausa isométrica de 2 segundos en el bloqueo pélvico superior.
Semana 3,Día 3 (Viernes) - Full Body C,5,Deltoides Posterior en Banco Romano,Pájaros con mancuernas apoyado prono a 45°,Pájaros con mancuernas manteniendo posición en banco romano,3,15-20,1-2,60,2-1-1-1,"Semana 3: Rotación neutra de muñecas, elevación en plano escapular para reposicionar la cabeza humeral."
Semana 4,Día 1 (Lunes) - Full Body A,1,Rodilla Dominante / Prensa,Prensa de piernas 45° (pies anchura de hombros media plataforma),Goblet Squat con mancuerna pesada y torso erguido,2,8-10,3-4,120,3-0-1-0,Semana 4: Cero estrés axial. Empujar con mediopié y talones. Bloquear pelvis contra el respaldo.
Semana 4,Día 1 (Lunes) - Full Body A,2,Tracción Horizontal / Remo Pecho Apoyado,Remo en máquina con almohadilla esternal,Remo con mancuernas sobre banco inclinado a 45°,2,10-12,3-4,90,2-1-1-1,Semana 4: Pausa 1s en contracción escapular. Inhibir lumbares; abrir caja torácica.
Semana 4,Día 1 (Lunes) - Full Body A,3,Empuje Horizontal / Press Mancuernas,Press de banca plano con mancuernas agarre neutro-semipronado,Floor press con mancuernas o press en banco plano,2,8-10,3-4,90,3-1-1-0,Semana 4: Codos a 45° respecto al torso. Protección estricta del acromion y hombro anterior.
Semana 4,Día 1 (Lunes) - Full Body A,4,Bisagra / Cadena Posterior en Banco Romano,Extensiones de cadera a 45° en banco romano,Banco romano 45° en casa (almohadilla bajo cresta ilíaca),2,10-12,3-4,60,2-1-1-1,Semana 4: Bloquear arriba apretando GLÚTEOS con pelvis neutra. CERO hiperextensión lumbar.
Semana 4,Día 1 (Lunes) - Full Body A,5,Postural / Rotación Externa,Face Pull en polea alta con cuerda doble hacia las sienes,Face pull con banda elástica anclada alta o pájaros en pronación,2,15-20,3,60,2-2-1-1,Semana 4: Pulgares apuntando hacia atrás al final del tirón. Corrige hombros adelantados.
Semana 4,Día 2 (Miércoles) - Full Body B,1,Bisagra de Cadera / Peso Muerto Rumano,RDL con mancuernas rozando espinillas,RDL con mancuernas manteniendo columna neutra,2,8-10,3-4,120,3-1-1-0,"Semana 4: Empujar cadera hacia la pared trasera. Máxima tensión en isquiosurales, lumbares fijas."
Semana 4,Día 2 (Miércoles) - Full Body B,2,Tracción Vertical / Jalón al Pecho,Jalón al pecho en polea con agarre neutro cerrado/medio,Remo invertido bajo mesa sólida o dominadas asistidas,2,10-12,3-4,90,2-1-1-1,"Semana 4: Iniciar descendiendo las escápulas. Barra al esternón alto, codos al bolsillo trasero."
Semana 4,Día 2 (Miércoles) - Full Body B,3,Empuje Vertical / Press Militar,Press militar sentado con mancuernas (respaldo a 75°-80°),Press de hombros sentado con mancuernas con respaldo,2,8-10,3-4,90,2-0-1-0,Semana 4: Apoyo lumbar firme en el respaldo para evitar arqueo compensatorio.
Semana 4,Día 2 (Miércoles) - Full Body B,4,Unilateral / Estabilidad Pélvica,Sentadilla búlgara con mancuernas,Sentadilla búlgara apoyando pie en banco romano/silla,2,10-12 / pierna,3-4,60,2-1-1-0,Semana 4: Estiramiento dinámico del psoas contralateral y trabajo estabilizador del glúteo medio.
Semana 4,Día 2 (Miércoles) - Full Body B,5,Core / Anti-Extensión Lumbar,Plank abdominal con retroversión pélvica activa,Plank en suelo empujando codos contra suelo / Dead Bug,2,35-45 seg,Fallo técnico,45,Isométrico,Semana 4: Apretón consciente de glúteos y ombligo hacia dentro. Cero hundimiento lumbar.
Semana 4,Día 3 (Viernes) - Full Body C,1,Rodilla Dominante / Guía Estable,Sentadilla en máquina Hack o Prensa vertical,Sentadilla Goblet con pausa de 1.5s en paralelo,2,8-10,3-4,120,3-1-1-0,Semana 4: Control excéntrico en 3 segundos. Profundidad cómoda sin pérdida de curvatura neutra.
Semana 4,Día 3 (Viernes) - Full Body C,2,Tracción Horizontal Alta / Romboides,Remo sentado en polea baja con barra ancha / agarre prono,Remo con mancuernas con codos a 60° del torso,2,10-12,3-4,90,2-1-1-1,Semana 4: Llevar barra al apéndice xifoides. Fortalecimiento directo de romboides y trapecio medio.
Semana 4,Día 3 (Viernes) - Full Body C,3,Empuje / Serrato Anterior,Fondos en máquina asistida (codos pegados),Flexiones en suelo o con manos en banco elevadas,2,10-12,3-4,90,2-1-1-0,Semana 4: Protracción activa al final de la fase de empuje (empujar el suelo lejos).
Semana 4,Día 3 (Viernes) - Full Body C,4,Extensión de Cadera / Descompresión Lumbar,Hip Thrust con barra acolchada o máquina de cadera,Hip Thrust con mancuerna apoyando escápulas en banco,2,10-12,3-4,90,2-2-1-1,Semana 4: Pausa isométrica de 2 segundos en el bloqueo pélvico superior.
Semana 4,Día 3 (Viernes) - Full Body C,5,Deltoides Posterior en Banco Romano,Pájaros con mancuernas apoyado prono a 45°,Pájaros con mancuernas manteniendo posición en banco romano,2,15-20,3,60,2-1-1-1,"Semana 4: Rotación neutra de muñecas, elevación en plano escapular para reposicionar la cabeza humeral."
